339|P!NK|Raise Your Glass
3588|AL TRACE / BOB VINCENT|You Call Everybody Darling
3636|TEX WILLIAMS|Smoke! Smoke! Smoke! (That Cigarette)
3637|TEX WILLIAMS|Smoke! Smoke! Smoke! (That Cigarette)
3638|TEX WILLIAMS|Smoke! Smoke! Smoke! (That Cigarette)
3639|TEX WILLIAMS|Smoke! Smoke! Smoke! (That Cigarette)
3640|TEX WILLIAMS|Smoke! Smoke! Smoke! (That Cigarette)
3641|TEX WILLIAMS|Smoke! Smoke! Smoke! (That Cigarette)
3651|TED WEEMS|Heartaches
3652|TED WEEMS|Heartaches
3653|TED WEEMS|Heartaches
3654|TED WEEMS|Heartaches
3655|TED WEEMS|Heartaches
3656|TED WEEMS|Heartaches
3657|TED WEEMS|Heartaches
3658|TED WEEMS|Heartaches
3659|TED WEEMS|Heartaches
3660|TED WEEMS|Heartaches
3661|TED WEEMS|Heartaches
3662|TED WEEMS|Heartaches
3663|FREDDY MARTIN / JOHNNY COCHRAN / ENSEMBLE|Managua Nicaragua
3664|FREDDY MARTIN / JOHNNY COCHRAN / ENSEMBLE|Managua Nicaragua
3691|FREDDY MARTIN / STUART WADE|To Each His Own
3692|FREDDY MARTIN / STUART WADE|To Each His Own
3695|PERRY COMO|Surrender
3733|PERRY COMO|Till The End Of Time
3734|PERRY COMO|Till The End Of Time
3735|PERRY COMO|Till The End Of Time
3736|PERRY COMO|Till The End Of Time
3737|PERRY COMO|Till The End Of Time
3738|PERRY COMO|Till The End Of Time
3739|PERRY COMO|Till The End Of Time
3740|PERRY COMO|Till The End Of Time
3741|PERRY COMO|Till The End Of Time
3785|MILLS BROTHERS|You Always Hurt The One You Love
3786|MILLS BROTHERS|You Always Hurt The One You Love
3788|MILLS BROTHERS|You Always Hurt The One You Love
3789|MILLS BROTHERS|You Always Hurt The One You Love
3791|MILLS BROTHERS|You Always Hurt The One You Love
3801|BING CROSBY / JOHN SCOTT TROTTER & HIS ORCHESTRA|I'll Be Seeing You
3802|BING CROSBY / JOHN SCOTT TROTTER & HIS ORCHESTRA|I'll Be Seeing You
3803|BING CROSBY / JOHN SCOTT TROTTER & HIS ORCHESTRA|I'll Be Seeing You
3805|BING CROSBY / JOHN SCOTT TROTTER & HIS ORCHESTRA|I'll Be Seeing You
3828|THE MILLS BROTHERS|Paper Doll
3829|THE MILLS BROTHERS|Paper Doll
3830|THE MILLS BROTHERS|Paper Doll
3831|THE MILLS BROTHERS|Paper Doll
3832|THE MILLS BROTHERS|Paper Doll
3833|THE MILLS BROTHERS|Paper Doll
3834|THE MILLS BROTHERS|Paper Doll
3835|THE MILLS BROTHERS|Paper Doll
3836|THE MILLS BROTHERS|Paper Doll
3837|THE MILLS BROTHERS|Paper Doll
3838|THE MILLS BROTHERS|Paper Doll
3839|THE MILLS BROTHERS|Paper Doll
3840|AL DEXTER & HIS TROOPERS|Pistol Packin' Mama
3841|BING CROSBY & THE KEN DARBY SINGERS|Sunday, Monday Or Always
3842|BING CROSBY & THE KEN DARBY SINGERS|Sunday, Monday Or Always
3843|BING CROSBY & THE KEN DARBY SINGERS|Sunday, Monday Or Always
3844|BING CROSBY & THE KEN DARBY SINGERS|Sunday, Monday Or Always
3845|BING CROSBY & THE KEN DARBY SINGERS|Sunday, Monday Or Always
3846|BING CROSBY & THE KEN DARBY SINGERS|Sunday, Monday Or Always
3847|BING CROSBY & THE KEN DARBY SINGERS|Sunday, Monday Or Always
3848|TOMMY DORSEY & HIS ORCHESTRA / FRANK SINATRA|In The Blue Of Evening
3849|TOMMY DORSEY & HIS ORCHESTRA / FRANK SINATRA|In The Blue Of Evening
3850|TOMMY DORSEY & HIS ORCHESTRA / FRANK SINATRA|In The Blue Of Evening
3855|THE SONG SPINNERS|Comin' In On A Wing And A Prayer
3856|THE SONG SPINNERS|Comin' In On A Wing And A Prayer
3857|THE SONG SPINNERS|Comin' In On A Wing And A Prayer
3928|GLENN MILLER & HIS ORCHESTRA|A String Of Pearls
3929|WOODY HERMAN & HIS ORCHESTRA|Blues In The Night
3930|GLENN MILLER & HIS ORCHESTRA|A String Of Pearls
3941|FREDDY MARTIN & HIS ORCHESTRA / JACK FINA|Piano Concerto In B Flat
3942|FREDDY MARTIN & HIS ORCHESTRA / JACK FINA|Piano Concerto In B Flat
3943|FREDDY MARTIN & HIS ORCHESTRA / JACK FINA|Piano Concerto In B Flat
3944|FREDDY MARTIN & HIS ORCHESTRA / JACK FINA|Piano Concerto In B Flat
3945|FREDDY MARTIN & HIS ORCHESTRA / JACK FINA|Piano Concerto In B Flat
3946|FREDDY MARTIN & HIS ORCHESTRA / JACK FINA|Piano Concerto In B Flat
3947|FREDDY MARTIN & HIS ORCHESTRA / JACK FINA|Piano Concerto In B Flat
3948|FREDDY MARTIN & HIS ORCHESTRA / JACK FINA|Piano Concerto In B Flat
3950|JIMMY DORSEY & HIS ORCHESTRA / BOB EBERLY & HELEN O'CONNELL|Green Eyes
3951|JIMMY DORSEY & HIS ORCHESTRA / BOB EBERLY & HELEN O'CONNELL|Green Eyes
3952|JIMMY DORSEY & HIS ORCHESTRA / BOB EBERLY & HELEN O'CONNELL|Green Eyes
3953|JIMMY DORSEY & HIS ORCHESTRA / BOB EBERLY & HELEN O'CONNELL|Green Eyes
